200,-440,-380,-100,260,-120,-440,-400,20,520,520,140,-741,-701,-741,-370,-520,-460,40,-180,-160,320,380,420,-140,-140,-220,-340,-681,-581,-881,-861,-821,480,620,440
-400,-580,40,260,-760,301,120,-400,-219,-300,-340,-460,-540,-640,-520,181,201,20,180,421,261,-1260,-1300,-1180,20,281,301,140,140,140,-540,-620,-600,-1120,-1000,-1160
-620,-180,520,-640,520,-640,540,-60,-720,-860,-800,-700,-20,-100,60,1061,1041,760,-620,-660,-720,740,620,881,-620,-680,-720,1041,1001,1001,-100,-200,-180,-1020,-940,-960
-580,180,-480,380,-620,360,-600,380,-620,-440,-560,-460,500,320,610,-610,-720,-600,600,560,460,-740,-590,-880,720,770,760,-720,-740,-780,400,320,320,-700,-660,-660
-401,480,-220,-40,600,-140,0,500,-361,-401,-380,-200,860,660,960,-20,60,-280,40,560,80,1020,800,840,-621,-401,-360,180,260,140,980,840,860,-461,-381,-400
-220,500,260,-200,-460,60,561,-480,-60,-260,-180,20,541,961,1381,681,701,341,-80,-260,-280,-700,-520,-540,420,321,361,1141,1181,1081,-680,-820,-820,-100,-20,-40
-80,-300,520,460,400,260,-420,120,260,-80,0,180,-460,-700,-280,1321,1161,780,660,560,640,780,800,560,-100,120,200,-480,-420,-540,0,-160,-200,220,260,320
0,-321,-341,-20,-120,-100,320,-401,460,40,80,260,-120,-300,-20,-140,-420,-280,-60,620,40,-260,-460,-20,60,100,200,520,520,520,700,520,380,400,600,740
120,-180,-180,-100,260,921,380,-1020,0,260,341,140,140,-250,360,-100,40,-200,-60,441,300,280,260,0,360,501,240,220,120,160,1041,801,741,700,1061,1041
1,-1,-1,-1,1,-1,-1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1
-1,-1,1,1,-1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1
-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,-1
-1,1,-1,1,-1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1
-1,1,-1,-1,1,-1,0,1,-1,-1,-1,-1,1,1,1,-1,1,-1,1,1,1,1,1,1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1
-1,1,1,-1,-1,1,1,-1,-1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,-1,-1,-1,-1,-1,-1
-1,-1,1,1,1,1,-1,1,1,-1,0,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,1,1,-1,-1,-1,0,-1,-1,1,1,1
0,-1,-1,-1,-1,-1,1,-1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1
1,-1,-1,-1,1,1,1,-1,0,1,1,1,1,-1,1,-1,1,-1,-1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
1,2,3,4,5,6,7,8,9,1,1,1,2,2,2,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9
